epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9964,1.14172,1.15545,1.45041,0.84306,0.78083,0.83294,0.50572,1.34853,0.95135,1.521,0.000663139,0.000663139,0.000663139
2,55.3813,1.16367,1.15644,1.46246,0.83446,0.74606,0.80849,0.46875,1.41612,1.03089,1.57939,0.00132851,0.00132851,0.00132851
3,81.7192,1.17589,1.20093,1.47202,0.84016,0.71157,0.78346,0.43914,1.50531,1.12395,1.66089,0.00198868,0.00198868,0.00198868
4,107.541,1.19197,1.21192,1.48994,0.84768,0.68642,0.76709,0.4185,1.53941,1.12612,1.69446,0.00198246,0.00198246,0.00198246
5,133.776,1.21547,1.25397,1.50292,0.80979,0.74726,0.78219,0.43951,1.44731,1.05651,1.62577,0.0019689,0.0019689,0.0019689
6,160.024,1.19796,1.25154,1.49976,0.80527,0.7277,0.7891,0.44069,1.51466,1.06909,1.66108,0.00195155,0.00195155,0.00195155
7,186.009,1.19802,1.23156,1.49532,0.80099,0.69545,0.73939,0.40028,1.54793,1.15692,1.73075,0.00193048,0.00193048,0.00193048
8,212.173,1.21327,1.26507,1.51056,0.84252,0.73603,0.79844,0.449,1.4611,1.08159,1.60985,0.00190578,0.00190578,0.00190578
9,238.007,1.2193,1.24218,1.50486,0.82687,0.74766,0.79659,0.44492,1.47384,1.05356,1.67235,0.00187754,0.00187754,0.00187754
10,264.103,1.20557,1.25477,1.50374,0.81047,0.73433,0.78619,0.42449,1.53496,1.08883,1.66793,0.00184588,0.00184588,0.00184588
11,290.079,1.20531,1.24236,1.49555,0.78878,0.72988,0.78595,0.43831,1.43849,1.08815,1.61882,0.00181093,0.00181093,0.00181093
12,316.104,1.20042,1.23126,1.49885,0.81742,0.7391,0.81167,0.46948,1.41334,1.01996,1.57769,0.00177281,0.00177281,0.00177281
13,342.425,1.19938,1.22371,1.49401,0.81113,0.75047,0.81547,0.47755,1.40189,1.02838,1.55899,0.00173168,0.00173168,0.00173168
14,368.009,1.19168,1.25157,1.49801,0.80952,0.70967,0.78633,0.44655,1.47228,1.08652,1.61029,0.0016877,0.0016877,0.0016877
15,393.886,1.19655,1.24761,1.5021,0.82316,0.70873,0.80321,0.47193,1.43422,1.02462,1.59259,0.00164105,0.00164105,0.00164105
16,420.428,1.19388,1.23029,1.48679,0.83599,0.76281,0.82019,0.49006,1.3705,0.9821,1.56565,0.00159191,0.00159191,0.00159191
17,446.143,1.19354,1.23345,1.49685,0.80146,0.75832,0.80028,0.45585,1.41607,1.06341,1.57449,0.00154047,0.00154047,0.00154047
18,471.928,1.18068,1.22587,1.48287,0.78399,0.74723,0.77198,0.44459,1.46009,1.10928,1.62681,0.00148694,0.00148694,0.00148694
19,498.745,1.16757,1.20695,1.47249,0.7872,0.74858,0.79136,0.46422,1.41016,1.04716,1.56267,0.00143152,0.00143152,0.00143152
20,524.523,1.17257,1.20963,1.48007,0.7975,0.78368,0.80561,0.47476,1.39971,0.99315,1.56786,0.00137444,0.00137444,0.00137444
21,550.134,1.18135,1.20343,1.47965,0.8101,0.74383,0.79662,0.46799,1.42391,1.02054,1.58938,0.00131593,0.00131593,0.00131593
